trial_index,seed,gallery_images_per_identity,identity_count,probe_count,gallery_image_count,top_1,top_3,top_5,top_10,mrr,mean_true_identity_rank,median_true_identity_rank
7,20260832,4,123,123,492,0.991869918699187,0.991869918699187,0.991869918699187,0.991869918699187,0.9921826141338336,1.2032520325203253,1.0
7,20260832,5,123,123,615,0.991869918699187,0.991869918699187,0.991869918699187,0.991869918699187,0.9921826141338336,1.2032520325203253,1.0
8,20260833,1,123,123,123,0.943089430894309,0.959349593495935,0.959349593495935,0.959349593495935,0.9515873296821294,2.3008130081300813,1.0
8,20260833,2,123,123,246,0.983739837398374,0.983739837398374,0.983739837398374,0.983739837398374,0.9842733739837398,1.6666666666666667,1.0
8,20260833,3,123,123,369,0.983739837398374,0.983739837398374,0.983739837398374,0.983739837398374,0.9841930989732434,1.7560975609756098,1.0
8,20260833,4,123,123,492,0.983739837398374,0.983739837398374,0.983739837398374,0.983739837398374,0.9841623987965451,1.7967479674796747,1.0
8,20260833,5,123,123,615,0.983739837398374,0.983739837398374,0.983739837398374,0.983739837398374,0.9841452632032951,1.7479674796747968,1.0
9,20260834,1,123,123,123,0.9512195121951219,0.959349593495935,0.959349593495935,0.959349593495935,0.9564299790287689,3.048780487804878,1.0
9,20260834,2,123,123,246,0.967479674796748,0.975609756097561,0.975609756097561,0.975609756097561,0.9709411185020941,1.9268292682926829,1.0
9,20260834,3,123,123,369,0.983739837398374,0.983739837398374,0.983739837398374,0.983739837398374,0.9842775411881103,1.5934959349593496,1.0
9,20260834,4,123,123,492,0.983739837398374,0.983739837398374,0.983739837398374,0.983739837398374,0.9841887711806411,1.6504065040650406,1.0
9,20260834,5,123,123,615,0.983739837398374,0.983739837398374,0.983739837398374,0.983739837398374,0.9842069383426754,1.5853658536585367,1.0
10,20260835,1,123,123,123,0.926829268292683,0.9512195121951219,0.9512195121951219,0.9512195121951219,0.9408563778539198,2.6097560975609757,1.0
10,20260835,2,123,123,246,0.975609756097561,0.983739837398374,0.983739837398374,0.983739837398374,0.9803435615001311,1.4065040650406504,1.0
10,20260835,3,123,123,369,0.975609756097561,0.983739837398374,0.983739837398374,0.983739837398374,0.9802528095211022,1.4878048780487805,1.0
10,20260835,4,123,123,492,0.975609756097561,0.983739837398374,0.983739837398374,0.983739837398374,0.9802130531186736,1.5365853658536586,1.0
10,20260835,5,123,123,615,0.983739837398374,0.983739837398374,0.983739837398374,0.983739837398374,0.9842592592592593,1.5447154471544715,1.0
11,20260836,1,123,123,123,0.926829268292683,0.9512195121951219,0.959349593495935,0.959349593495935,0.9420409137213246,3.2439024390243905,1.0
11,20260836,2,123,123,246,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.9763752507654947,1.991869918699187,1.0
11,20260836,3,123,123,369,0.983739837398374,0.983739837398374,0.983739837398374,0.983739837398374,0.9842344647222696,1.6910569105691058,1.0
11,20260836,4,123,123,492,0.991869918699187,0.991869918699187,0.991869918699187,0.991869918699187,0.9922086720867209,1.1869918699186992,1.0
11,20260836,5,123,123,615,0.991869918699187,0.991869918699187,0.991869918699187,0.991869918699187,0.9921602787456446,1.2195121951219512,1.0
12,20260837,1,123,123,123,0.9349593495934959,0.959349593495935,0.959349593495935,0.959349593495935,0.9468200836949171,2.934959349593496,1.0
12,20260837,2,123,123,246,0.983739837398374,0.983739837398374,0.983739837398374,0.983739837398374,0.9843521992912236,1.7479674796747968,1.0
12,20260837,3,123,123,369,0.983739837398374,0.983739837398374,0.983739837398374,0.983739837398374,0.9842002939480197,1.7886178861788617,1.0
12,20260837,4,123,123,492,0.983739837398374,0.983739837398374,0.983739837398374,0.983739837398374,0.984244510812455,1.5772357723577235,1.0
12,20260837,5,123,123,615,0.983739837398374,0.983739837398374,0.983739837398374,0.983739837398374,0.984244510812455,1.5772357723577235,1.0
13,20260838,1,123,123,123,0.943089430894309,0.967479674796748,0.967479674796748,0.975609756097561,0.9573323907152115,2.008130081300813,1.0
13,20260838,2,123,123,246,0.983739837398374,0.983739837398374,0.983739837398374,0.983739837398374,0.984195671449802,1.5772357723577235,1.0
13,20260838,3,123,123,369,0.991869918699187,0.991869918699187,0.991869918699187,0.991869918699187,0.9922978177150192,1.146341463414634,1.0
13,20260838,4,123,123,492,0.991869918699187,0.991869918699187,0.991869918699187,0.991869918699187,0.9922764227642277,1.1544715447154472,1.0
13,20260838,5,123,123,615,0.991869918699187,0.991869918699187,0.991869918699187,0.991869918699187,0.9922234004948745,1.1788617886178863,1.0
14,20260839,1,123,123,123,0.959349593495935,0.967479674796748,0.975609756097561,0.975609756097561,0.9660871690735531,2.008130081300813,1.0
14,20260839,2,123,123,246,0.975609756097561,0.983739837398374,0.983739837398374,0.983739837398374,0.9788183812574057,1.6910569105691058,1.0
14,20260839,3,123,123,369,0.983739837398374,0.983739837398374,0.983739837398374,0.983739837398374,0.9841811846689895,1.7560975609756098,1.0
14,20260839,4,123,123,492,0.983739837398374,0.983739837398374,0.983739837398374,0.983739837398374,0.9842300231787847,1.5528455284552845,1.0
14,20260839,5,123,123,615,0.983739837398374,0.983739837398374,0.983739837398374,0.983739837398374,0.984233201306372,1.5609756097560976,1.0
15,20260840,1,123,123,123,0.9349593495934959,0.9512195121951219,0.9512195121951219,0.9512195121951219,0.9442938099434203,3.5934959349593494,1.0
15,20260840,2,123,123,246,0.983739837398374,0.983739837398374,0.983739837398374,0.983739837398374,0.9841263773139299,1.7235772357723578,1.0
15,20260840,3,123,123,369,0.983739837398374,0.983739837398374,0.983739837398374,0.983739837398374,0.9841680329485207,1.6016260162601625,1.0
15,20260840,4,123,123,492,0.983739837398374,0.983739837398374,0.983739837398374,0.983739837398374,0.9842442035531467,1.5284552845528456,1.0
15,20260840,5,123,123,615,0.983739837398374,0.983739837398374,0.983739837398374,0.983739837398374,0.9842092566875948,1.5691056910569106,1.0
16,20260841,1,123,123,123,0.967479674796748,0.975609756097561,0.975609756097561,0.975609756097561,0.9720314719523414,2.6016260162601625,1.0
16,20260841,2,123,123,246,0.991869918699187,0.991869918699187,0.991869918699187,0.991869918699187,0.9922764227642277,1.1544715447154472,1.0
